g,FSV,pval,qval
Pramel3,0.799433892,2.71E-06,5.75E-05
Gm8363,0.999954394,3.04E-06,6.45E-05
Scn10a,0.999954394,3.18E-06,6.73E-05
Glul,0.35100895,3.31E-06,6.99E-05
Kif9,0.99995455,3.40E-06,7.17E-05
Sacs,0.999954394,3.78E-06,7.96E-05
Mctp2,0.99995455,3.87E-06,8.13E-05
Ggn,0.99995455,3.88E-06,8.14E-05
Fcgr1,0.99995455,3.91E-06,8.20E-05
Ovol1,0.840012823,3.95E-06,8.27E-05
A830052D11Rik,0.76270397,4.00E-06,8.38E-05
Loxl2,0.99995455,4.12E-06,8.61E-05
Dhx37,0.99995455,4.12E-06,8.61E-05
Efcab9,0.99995455,4.13E-06,8.62E-05
Nhlh2,0.992294796,4.18E-06,8.69E-05
Clic3,0.99995455,4.20E-06,8.74E-05
Rsph4a,0.99995455,4.21E-06,8.74E-05
Olfr1062,0.99995455,4.69E-06,8.84E-05
Tnfrsf9,0.99995455,4.49E-06,8.84E-05
Zfp825,0.99995455,4.37E-06,8.84E-05
Car13,0.99995455,4.52E-06,8.84E-05
Serpinb1c,0.99995455,4.69E-06,8.84E-05
9530026F06Rik,0.99995455,4.63E-06,8.84E-05
Pde6a,0.99995455,4.63E-06,8.84E-05
Wt1,0.99995455,4.69E-06,8.84E-05
C1qtnf3,0.99995455,4.76E-06,8.84E-05
4930555G01Rik,0.99995455,4.60E-06,8.84E-05
Runx3,0.99995455,4.76E-06,8.84E-05
Lrrc34,0.99995455,4.76E-06,8.84E-05
Prss48,0.99995455,4.63E-06,8.84E-05
Masp1,0.608282444,4.74E-06,8.84E-05
Ccdc135,0.608282444,4.74E-06,8.84E-05
Gypc,0.608282444,4.74E-06,8.84E-05
A930007I19Rik,0.608282444,4.74E-06,8.84E-05
Klhl41,0.99995455,4.42E-06,8.84E-05
Cnga4,0.99995455,4.76E-06,8.84E-05
1700028E10Rik,0.608282444,4.74E-06,8.84E-05
1700065J18Rik,0.99995455,4.64E-06,8.84E-05
AW495222,0.99995455,4.76E-06,8.84E-05
Ccr9,0.99995455,4.41E-06,8.84E-05
Vnn1,0.99995455,4.76E-06,8.84E-05
E230008N13Rik,0.99995455,4.63E-06,8.84E-05
Gdap10,0.99995455,4.68E-06,8.84E-05
Shbg,0.99995455,4.71E-06,8.84E-05
Hsf2bp,0.999954394,4.69E-06,8.84E-05
A330032B11Rik,0.99995455,4.45E-06,8.84E-05
Igf2as,0.99995455,4.77E-06,8.84E-05
Tnnc1,0.99995455,4.49E-06,8.84E-05
Sema3b,0.99995455,4.62E-06,8.84E-05
5730405O15Rik,0.99995455,4.79E-06,8.84E-05
Muc13,0.99995455,4.79E-06,8.84E-05
Tshb,0.99995455,4.79E-06,8.84E-05
Vmn1r209,0.99995455,4.73E-06,8.84E-05
Tcf23,0.99995455,4.63E-06,8.84E-05
Exo1,0.99995455,4.63E-06,8.84E-05
0610039K10Rik,0.99995455,4.63E-06,8.84E-05
Rnd2,0.99995455,4.60E-06,8.84E-05
Ly6i,0.99995455,4.63E-06,8.84E-05
Gm13051,0.99995455,4.63E-06,8.84E-05
Epm2a,0.99995455,4.76E-06,8.84E-05
4931403G20Rik,0.99995455,4.63E-06,8.84E-05
Il22,0.99995455,4.76E-06,8.84E-05
Zfp661,0.99995455,4.50E-06,8.84E-05
Gm4890,0.99995455,4.55E-06,8.84E-05
Ces1f,0.99995455,4.76E-06,8.84E-05
Kcnk10,0.99995455,4.70E-06,8.84E-05
C1rb,0.99995455,4.45E-06,8.84E-05
Gm9705,0.99995455,4.36E-06,8.84E-05
Adap2,0.99995455,4.60E-06,8.84E-05
Snord47,0.99995455,4.32E-06,8.84E-05
Gpx2-ps1,0.99995455,4.79E-06,8.84E-05
A930012L18Rik,0.99995455,4.79E-06,8.84E-05
Rspo2,0.99995455,4.79E-06,8.84E-05
Eda2r,0.99995455,4.79E-06,8.84E-05
A230020J21Rik,0.99995455,4.79E-06,8.84E-05
Dsc2,0.99995455,4.58E-06,8.84E-05
D330050I16Rik,0.99995455,4.52E-06,8.84E-05
Casc1,0.99995455,4.76E-06,8.84E-05
Snord67,0.99995455,4.76E-06,8.84E-05
Rtdr1,0.99995455,4.76E-06,8.84E-05
Pcp2,0.99995455,4.76E-06,8.84E-05
Ttc25,0.99995455,4.58E-06,8.84E-05
Akr1b8,0.99995455,4.65E-06,8.84E-05
Gm933,0.99995455,4.76E-06,8.84E-05
Trim75,0.99995455,4.72E-06,8.84E-05
Stk31,0.99995455,4.72E-06,8.84E-05
Olfr1297,0.99995455,4.72E-06,8.84E-05
Fhl5,0.99995455,4.72E-06,8.84E-05
Fam47e,0.99995455,4.76E-06,8.84E-05
Dennd2d,0.99995455,4.75E-06,8.84E-05
5830444B04Rik,0.99995455,4.52E-06,8.84E-05
4930512B01Rik,0.99995455,4.77E-06,8.84E-05
BC048679,0.99995455,4.52E-06,8.84E-05
Cdx1,0.99995455,4.75E-06,8.84E-05
S100g,0.99995455,4.75E-06,8.84E-05
Slc38a11,0.99995455,4.77E-06,8.84E-05
Lao1,0.99995455,4.75E-06,8.84E-05
Gm13032,0.99995455,4.77E-06,8.84E-05
Pcdha10,0.99995455,4.31E-06,8.84E-05
Irx6,0.99995455,4.57E-06,8.84E-05
Mir138-2,0.99995455,4.79E-06,8.84E-05
Prph,0.99995455,4.79E-06,8.84E-05
Il4i1,0.99995455,4.38E-06,8.84E-05
Aurkb,0.99995455,4.79E-06,8.84E-05
Vmn2r18,0.99995455,4.79E-06,8.84E-05
Atp6v0a4,0.608282444,4.74E-06,8.84E-05
Skor1,0.99995455,4.79E-06,8.84E-05
Ifi204,0.99995455,4.47E-06,8.84E-05
Spata3,0.99995455,4.71E-06,8.84E-05
Nron,0.99995455,4.46E-06,8.84E-05
Trim43a,0.99995455,4.66E-06,8.84E-05
H2afb1,0.99995455,4.77E-06,8.84E-05
Syne3,0.99995455,4.50E-06,8.84E-05
Ifitm10,0.99995455,4.58E-06,8.84E-05
Tll1,0.99995455,4.71E-06,8.84E-05
Scgb3a1,0.99995455,4.84E-06,8.85E-05
Lpcat1,0.99995455,4.85E-06,8.85E-05
Tmem138,0.99995455,4.85E-06,8.85E-05
Aox4,0.99995455,4.84E-06,8.85E-05
Slc22a13b-ps,0.99995455,4.82E-06,8.85E-05
Spata32,0.99995455,4.84E-06,8.85E-05
Gm11435,0.99995455,4.85E-06,8.85E-05
Fmo6,0.99995455,4.81E-06,8.85E-05
Lrit2,0.99995455,4.85E-06,8.85E-05
Cpn1,0.99995455,4.84E-06,8.85E-05
Zbtb32,0.99995455,4.86E-06,8.85E-05
Lhcgr,0.99995455,4.86E-06,8.85E-05
Pcdhga8,0.99995455,4.90E-06,8.92E-05
Crygn,0.99995455,4.93E-06,8.96E-05
Ch25h,0.99995455,4.94E-06,8.96E-05
Uhrf1,0.99995455,4.94E-06,8.96E-05
Gpx2,0.99995455,4.96E-06,8.99E-05
Lhfpl1,0.99995455,4.98E-06,9.01E-05
Gbp5,0.99995455,5.07E-06,9.03E-05
Prdm8,0.99995455,5.21E-06,9.03E-05
Tnf,0.99995455,5.21E-06,9.03E-05
Acoxl,0.99995455,5.21E-06,9.03E-05
Ces4a,0.99995455,5.21E-06,9.03E-05
Prdm9,0.99995455,5.21E-06,9.03E-05
Gpat2,0.99995455,5.20E-06,9.03E-05
Olfr193,0.99995455,5.08E-06,9.03E-05
Gm10400,0.99995455,5.08E-06,9.03E-05
Snord19,0.99995455,5.08E-06,9.03E-05
Slc26a4,0.99995455,5.08E-06,9.03E-05
Pirt,0.99995455,5.08E-06,9.03E-05
Lrrc8b,0.99995455,5.08E-06,9.03E-05
Btk,0.99995455,5.22E-06,9.03E-05
Olfr1204,0.99995455,5.22E-06,9.03E-05
Cyp1a2,0.99995455,5.22E-06,9.03E-05
Acpp,0.99995455,5.22E-06,9.03E-05
Olfr39,0.99995455,5.22E-06,9.03E-05
Aadac,0.99995455,5.22E-06,9.03E-05
H19,0.99995455,5.22E-06,9.03E-05
Slc10a5,0.99995455,5.22E-06,9.03E-05
Vmn2r85,0.99995455,5.22E-06,9.03E-05
Fcgr4,0.99995455,5.22E-06,9.03E-05
Gata6,0.99995455,5.22E-06,9.03E-05
Dspp,0.99995455,5.22E-06,9.03E-05
Gm10375,0.99995455,5.03E-06,9.03E-05
Gm16982,0.99995455,5.03E-06,9.03E-05
4921509C19Rik,0.99995455,5.03E-06,9.03E-05
Ccdc108,0.99995455,5.03E-06,9.03E-05
Vill,0.99995455,5.14E-06,9.03E-05
Mfsd2b,0.99995455,5.17E-06,9.03E-05
Gm7008,0.99995455,5.08E-06,9.03E-05
